attraction_taz,attraction_district,observed_trips,emp,pop,raw_estimated_trips,estimated_trips
2356,19,0,342,348,55.97996901226193,78.71602042190428
2357,19,0,295,41,8.098536042419315,11.387725640987245
2358,19,0,978,0,5.771828711923557,8.116034981369673
2359,19,0,64,392,61.1620370116164,86.00276562134397
2360,19,0,1132,454,77.07886378514037,108.3841510251513
2361,19,0,136,1401,218.04458294511574,306.60256064510844
2362,19,0,445,68,13.170461665242975,18.519594556761675
2363,19,3155.1834338009357,1160,0,6.845931805553503,9.626380959497771
2364,18,0,302,1496,233.75515579819748,328.6939228834854
2365,18,0,113,919,143.16892814489557,201.31644355085686
2366,18,402.03958471119404,78,2801,434.7891807449846,611.3771521246924
2367,18,0,59,2383,369.861104921141,520.0787853573738
2368,18,0,35,1223,189.8474667437717,266.9532929890719
2369,13,4971.1303758993745,6263,2,37.27225421948237,52.410238449194765
2370,19,0,1070,5,7.090092261195812,9.96970625516472
2371,19,0,926,8,6.705438653115839,9.428827047776268
2372,37,662.9260645955801,5572,597,125.45613357871063,176.40966486908582
2373,19,232.03781129419804,764,1119,178.02332577180164,250.32682215238393
2374,19,0,2059,0,12.151528954857469,17.086826203108544
