orig_taz,dest_taz,purpose,attraction_district,attraction_taz,observed_trips,distance,estimated,category
130,3273,IX,16,130,2.357034921646118,55.5663,0.08500231307,Freeway
130,3295,IX,16,130,3.296005368232727,62.8228,0.02780502615,Non-freeway
130,3298,IX,16,130,3.2949994802474976,63.5379,0.06760447912999999,Freeway
130,3299,IX,16,130,1.3919724225997925,62.8361,0.01397538675,Non-freeway
130,3305,IX,16,130,1.740468978881836,50.5974,0.160259798,Freeway
130,3318,IX,16,130,33.222373962402344,29.263,0.13191523392,Non-freeway
130,3322,IX,16,130,3.884735107421875,26.2784,0.35982641169,Non-freeway
130,3323,IX,16,130,42.21352308988571,24.4887,7.904349877,Freeway
138,3235,IX,16,138,9.56678581237793,23.9487,0.0073623683,Non-freeway
138,3237,IX,16,138,1.7563570737838745,33.3721,0.00265361878,Non-freeway
138,3242,IX,16,138,1.9065171480178833,38.6802,0.00174450881,Non-freeway
138,3245,IX,16,138,2.2293267250061035,29.2804,0.00344285487,Non-freeway
138,3252,IX,16,138,38.85582256317139,25.3229,0.03513031288,Freeway
138,3263,IX,16,138,5.614794731140137,48.1278,4.4564596e-4,Non-freeway
138,3277,IX,16,138,8.78430062532425,58.3376,0.0016588233,Freeway
138,3289,IX,16,138,1.7157031297683716,64.9756,0.00106654777,Non-freeway
138,3298,IX,16,138,8.234355866909027,63.0589,0.0015214028,Freeway
138,3305,IX,16,138,1.860568881034851,50.1185,0.00360704083,Freeway
138,3308,IX,16,138,11.02100396156311,40.1315,0.01065706934,Freeway
138,3322,IX,16,138,55.363250732421875,25.2111,0.0079050761,Non-freeway
138,3323,IX,16,138,170.6342460140586,23.4214,0.17243302719,Freeway
138,3328,IX,16,138,1.975634217262268,24.7616,0.0034123440399999997,Non-freeway
147,3235,IX,16,147,10.951769769191742,25.1124,0.47735972340000005,Non-freeway
147,3237,IX,16,147,16.817977905273437,33.278,0.2112611543,Non-freeway
147,3242,IX,16,147,0.7931646108627319,37.7232,0.14186505030000002,Non-freeway
147,3243,IX,16,147,1.7864803075790405,33.2836,0.10452374387,Non-freeway
147,3252,IX,16,147,29.350045293569565,23.8166,2.872781887,Freeway
147,3273,IX,16,147,2.8600610494613647,55.2852,0.12536959803,Freeway
147,3295,IX,16,147,4.898121476173401,62.0014,0.04576716666,Non-freeway
